AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Male,Ntg,6% Extruded,B6,27.116666666666667,0.9735159646011642,79,0,2.59,0,3
2,Male,Ntg,6% Extruded,B6xBXD113,31.91,NA,84,NA,2.75,NA,1
2,Male,Ntg,6% Extruded,B6xBXD12,26.164,1.9140350049045596,86,0,2.82,0,5
2,Male,Ntg,6% Extruded,B6xBXD124,31.83,NA,86,NA,2.82,NA,1
2,Male,Ntg,6% Extruded,B6xBXD14,30.672,0.8002936960891301,90,2.23606797749979,2.948,0.07155417527999333,5
2,Male,Ntg,6% Extruded,B6xBXD152,28.818,1.6300828199818564,85.6,0.8944271909999159,2.806,0.03130495168499699,5
2,Male,Ntg,6% Extruded,B6xBXD154,25.94,0.9003888049059687,89.33333333333333,2.886751345948129,2.9266666666666667,0.09237604307034021,3
2,Male,Ntg,6% Extruded,B6xBXD156,25.63,0.612590129423146,86,0,2.82,0,4
2,Male,Ntg,6% Extruded,B6xBXD169,25.42,1.2162236636408634,86,0,2.82,0,2
2,Male,Ntg,6% Extruded,B6xBXD19,29.036,2.5354940347001405,87,2.23606797749979,2.852,0.07155417527999333,5
2,Male,Ntg,6% Extruded,B6xBXD28,26.66,NA,87,NA,2.85,NA,1
2,Male,Ntg,6% Extruded,B6xBXD38,29.34,NA,91,NA,2.98,NA,1
2,Male,Ntg,6% Extruded,B6xBXD39,26.465,1.9677821695163986,82,6,2.6875,0.19500000000000006,4
2,Male,Ntg,6% Extruded,B6xBXD50,26.493333333333332,0.6178457196852082,87,0,2.85,0,3
2,Male,Ntg,6% Extruded,B6xBXD55,29.92,1.7895995827745006,86,0,2.82,0,4
2,Male,Ntg,6% Extruded,B6xBXD60,29.63,1.2102341371266414,86,0,2.82,0,4
2,Male,Ntg,6% Extruded,B6xBXD61,26.795,1.7748380207782353,79,0,2.59,0,2
2,Male,Ntg,6% Extruded,B6xBXD65,31.66,0.028284271247461298,86,0,2.82,0,2
2,Male,Ntg,6% Extruded,B6xBXD68,29.445,0.43133513652379357,87,0,2.85,0,2
2,Male,Ntg,6% Extruded,B6xBXD73,25.046666666666667,1.5410818710676397,85.33333333333333,1.1547005383792515,2.7966666666666664,0.04041451884327371,3
2,Male,Ntg,6% Extruded,B6xBXD74,27.334,1.714651568103561,87,2.23606797749979,2.852,0.07155417527999333,5
2,Male,Ntg,6% Extruded,B6xBXD75,29.245,0.657609306503489,86,0,2.82,0,2
2,Male,Ntg,6% Extruded,B6xBXD77,31.560000000000002,1.0040916292848987,86,0,2.82,0,2
2,Male,Ntg,6% Extruded,B6xBXD83,29.596666666666668,0.6811999217067871,86,0,2.82,0,3
2,Male,Ntg,6% Extruded,B6xBXD87,27.53,NA,91,NA,2.98,NA,1
2,Male,Ntg,6% Extruded,B6xBXD99,28.185000000000002,1.4212846301849615,86,0,2.82,0,2
4,Female,5XFAD,45% HFD,B6,19.72,NA,93,NA,3.05,NA,1
4,Female,5XFAD,45% HFD,B6xBXD113,23.259999999999998,3.2520685724627643,95,2.7386127875258306,3.114,0.08763560920082666,5
4,Female,5XFAD,45% HFD,B6xBXD12,19.48875,1.0064994145197363,96.5,3.7416573867739413,3.165,0.12294017127971521,8
4,Female,5XFAD,45% HFD,B6xBXD124,23.575555555555557,2.4518926929573763,94.55555555555556,3.0867098629086893,3.101111111111111,0.10142046692414262,9
4,Female,5XFAD,45% HFD,B6xBXD125,21.368,1.5331568739042976,100.6,0.5477225575051661,3.298,0.01643167672515512,5
4,Female,5XFAD,45% HFD,B6xBXD14,22.003333333333334,0.6612362159873991,104,5.196152422706632,3.4099999999999997,0.17320508075688762,3
4,Female,5XFAD,45% HFD,B6xBXD152,22.330000000000002,3.558187740971518,93,0,3.05,0,3
4,Female,5XFAD,45% HFD,B6xBXD154,20.090000000000003,0.1131370849898477,93,0,3.05,0,2
4,Female,5XFAD,45% HFD,B6xBXD16,22.822499999999998,0.7738378383098102,100,5.715476066494082,3.28,0.18779421361337698,4
4,Female,5XFAD,45% HFD,B6xBXD161,22.286666666666665,1.7902141398912772,94.16666666666667,1.9407902170679516,3.0866666666666664,0.06218252702059215,6
4,Female,5XFAD,45% HFD,B6xBXD169,19.976,1.478793427088449,93,0,3.05,0,5
4,Female,5XFAD,45% HFD,B6xBXD19,20.748,1.6981666584879112,97.2,3.8340579025361627,3.1879999999999997,0.1259761882261882,5
